COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
BIH,,ALL,1980,46874
BIH,,ALL,1983,50304
BIH,,ALL,1984,54453
BIH,,ALL,1985,58973
BIH,,ALL,1986,61256
BIH,,ALL,1987,67927
BIH,,ALL,1988,67769
BIH,,ALL,1989,65571
BIH,,ALL,2017,4142
BIH,,ALL,2018,3788
BIH,,ALL,2019,2210
BLR,,ALL,1990,254726
BLR,,ALL,1993,89090
BLR,,ALL,1994,86662
BLR,,ALL,1995,81405
BLR,,ALL,1996,75180
BLR,,ALL,1997,148900
BLR,,ALL,1998,145339
BLR,,ALL,1999,135829
BLR,,ALL,2000,121895
BLR,,ALL,2001,101402
BLR,,ALL,2002,89895
BLR,,ALL,2003,80174
BLR,,ALL,2004,71700
BLR,,ALL,2005,64655
BLR,,ALL,2006,58516
BLR,,ALL,2007,46285
BLR,,ALL,2008,42197
BLR,,ALL,2009,35967
BLR,,ALL,2010,33262
BLR,,ALL,2011,32031
BLR,,ALL,2012,28628
BLR,,ALL,2013,31206
BLR,,ALL,2014,29797
BLR,,ALL,2015,29217
BLR,,ALL,2016,27467
BLR,,ALL,2017,25249
BLR,,ALL,2018,23305
BLR,,ALL,2019,21289
BLR,,ALL,2020,18180
,CARINFONET,ALL,1990,578074
,CARINFONET,ALL,1991,560145
,CARINFONET,ALL,1992,629977
,CARINFONET,ALL,1993,531838
,CARINFONET,ALL,1994,466071
,CARINFONET,ALL,1995,395751
,CARINFONET,ALL,1996,345625
,CARINFONET,ALL,1997,300546
,CARINFONET,ALL,1998,274215
,CARINFONET,ALL,1999,250449
,CARINFONET,ALL,2000,237927
,CARINFONET,ALL,2001,233941
,CARINFONET,ALL,2002,223080
,CARINFONET,ALL,2003,222200
,CARINFONET,ALL,2004,214422
,CARINFONET,ALL,2005,211140
,CARINFONET,ALL,2006,210250
,CARINFONET,ALL,2007,210119
,CARINFONET,ALL,2008,200136
,CARINFONET,ALL,2009,194236
,CARINFONET,ALL,2010,187006
,CARINFONET,ALL,2011,174682
,CARINFONET,ALL,2012,183656
,CARINFONET,ALL,2013,164263
,CARINFONET,ALL,2014,171969
,CARINFONET,ALL,2015,164888
,CARINFONET,ALL,2016,165982
,CARINFONET,ALL,2017,166187
,CARINFONET,ALL,2018,165448
CHE,,ALL,1980,15837
CHE,,ALL,1981,17450
CHE,,ALL,1982,15436
CHE,,ALL,1983,15150
CHE,,ALL,1984,14969
CHE,,ALL,1985,14144
CHE,,ALL,1986,14145
CHE,,ALL,1987,12432
CHE,,ALL,1988,12778
CHE,,ALL,1989,12759
CHE,,ALL,1990,12986
CHE,,ALL,1991,12941
CHE,,ALL,1992,12628
CHE,,ALL,1993,12145
CHE,,ALL,1994,11813
CHE,,ALL,1995,11861
CHE,,ALL,1996,12756
CHE,,ALL,1997,12090
CHE,,ALL,1998,12629
CHE,,ALL,1999,12200
CHE,,ALL,2000,12312
CHE,,ALL,2001,12418
CHE,,ALL,2002,11844
CHE,,ALL,2003,10820
CHE,,ALL,2004,10959
CHE,,ALL,2005,10818
CHE,,ALL,2006,10594
CHE,,ALL,2007,10645
CHE,,ALL,2008,10924
CHE,,ALL,2009,10681
CHE,,ALL,2010,11101
CHE,,ALL,2011,11100
CHE,,ALL,2012,10907
CHE,,ALL,2013,10484
CHE,,ALL,2014,10275
CHE,,ALL,2015,10289
CHE,,ALL,2016,10273
CHE,,ALL,2017,10037
CHE,,ALL,2018,10457
CHE,,ALL,2019,10663
CHE,,ALL,2020,11143
,CIS,ALL,1990,5904761
,CIS,ALL,1991,5377309
,CIS,ALL,1992,5075179
,CIS,ALL,1993,4558351
,CIS,ALL,1994,4256167
,CIS,ALL,1995,3884289
,CIS,ALL,1996,3659910
,CIS,ALL,1997,3430625
,CIS,ALL,1998,3204798
,CIS,ALL,1999,2978005
,CIS,ALL,2000,2785559
,CIS,ALL,2001,2583534
,CIS,ALL,2002,2460725
,CIS,ALL,2003,2317154
,CIS,ALL,2004,2203103
,CIS,ALL,2005,2055292
,CIS,ALL,2006,1953167
,CIS,ALL,2007,1819007
,CIS,ALL,2008,1749733
,CIS,ALL,2009,1639731
,CIS,ALL,2010,1505743
,CIS,ALL,2011,1420849
,CIS,ALL,2012,1360546
,CIS,ALL,2013,1279856
,CIS,ALL,2014,1185201
,CIS,ALL,2015,1099968
,CIS,ALL,2016,1041277
,CIS,ALL,2017,973099
CZE,,ALL,1970,71893
CZE,,ALL,1971,68652
CZE,,ALL,1972,65079
CZE,,ALL,1973,55898
CZE,,ALL,1974,56969
CZE,,ALL,1975,55511
CZE,,ALL,1976,56889
CZE,,ALL,1977,61114
CZE,,ALL,1978,63904
CZE,,ALL,1979,64505
CZE,,ALL,1980,68930
CZE,,ALL,1981,71574
CZE,,ALL,1982,74531
CZE,,ALL,1983,75037
CZE,,ALL,1984,79534
CZE,,ALL,1985,83042
CZE,,ALL,1986,83564
CZE,,ALL,1987,107717
CZE,,ALL,1988,110031
CZE,,ALL,1989,107403
CZE,,ALL,1990,107131
CZE,,ALL,1991,103124
CZE,,ALL,1992,93435
CZE,,ALL,1993,69398
CZE,,ALL,1994,53674
CZE,,ALL,1995,48286
CZE,,ALL,1996,46506
CZE,,ALL,1997,43261
CZE,,ALL,1998,40935
CZE,,ALL,1999,37157
CZE,,ALL,2000,32530
CZE,,ALL,2001,30358
CZE,,ALL,2002,28850
CZE,,ALL,2003,27122
CZE,,ALL,2004,27574
CZE,,ALL,2005,26453
CZE,,ALL,2006,25352
CZE,,ALL,2007,25414
CZE,,ALL,2008,25760
CZE,,ALL,2009,24636
CZE,,ALL,2010,23998
CZE,,ALL,2011,24055
CZE,,ALL,2012,23032
CZE,,ALL,2013,22714
CZE,,ALL,2014,21893
CZE,,ALL,2015,20403
CZE,,ALL,2016,20406
CZE,,ALL,2017,19415
CZE,,ALL,2018,18298
CZE,,ALL,2019,17757
CZE,,ALL,2020,16886
DEU,,ALL,1991,124377
DEU,,ALL,1992,118609
DEU,,ALL,1993,111236
DEU,,ALL,1994,103586
DEU,,ALL,1995,97937
DEU,,ALL,1996,130899
DEU,,ALL,1997,130890
DEU,,ALL,1998,131795
DEU,,ALL,1999,130471
DEU,,ALL,2000,134609
DEU,,ALL,2001,134964
DEU,,ALL,2002,130387
DEU,,ALL,2003,128030
DEU,,ALL,2004,129650
DEU,,ALL,2005,124023
DEU,,ALL,2006,119710
DEU,,ALL,2007,116871
DEU,,ALL,2008,114484
DEU,,ALL,2009,110694
DEU,,ALL,2010,110431
DEU,,ALL,2011,108867
DEU,,ALL,2012,106815
DEU,,ALL,2013,102802
DEU,,ALL,2014,99715
DEU,,ALL,2015,99237
DEU,,ALL,2016,98721
DEU,,ALL,2017,101209
DEU,,ALL,2018,100986
DEU,,ALL,2019,100893
DEU,,ALL,2020,99948
DEU,,ALL,2021,94596
DNK,,ALL,1970,9375
DNK,,ALL,1971,11157
DNK,,ALL,1972,12985
DNK,,ALL,1973,16536
DNK,,ALL,1974,24868
DNK,,ALL,1975,27884
DNK,,ALL,1976,26842
DNK,,ALL,1977,25662
DNK,,ALL,1978,23699
DNK,,ALL,1979,23193
DNK,,ALL,1980,23334
DNK,,ALL,1981,22779
DNK,,ALL,1982,21462
DNK,,ALL,1983,20791
DNK,,ALL,1984,20742
DNK,,ALL,1985,19919
DNK,,ALL,1986,20067
DNK,,ALL,1987,20830
DNK,,ALL,1988,21199
DNK,,ALL,1989,21456
DNK,,ALL,1990,20589
DNK,,ALL,1991,19729
DNK,,ALL,1992,18833
DNK,,ALL,1993,18687
DNK,,ALL,1994,17598
DNK,,ALL,1995,17613
DNK,,ALL,1996,18244
DNK,,ALL,1997,17162
DNK,,ALL,1998,16594
DNK,,ALL,1999,16231
DNK,,ALL,2000,15882
DNK,,ALL,2001,15543
DNK,,ALL,2002,15177
DNK,,ALL,2003,15758
DNK,,ALL,2004,15387
DNK,,ALL,2005,15434
DNK,,ALL,2006,15334
DNK,,ALL,2007,15859
DNK,,ALL,2008,16799
DNK,,ALL,2009,16877
DNK,,ALL,2010,16809
DNK,,ALL,2011,16313
DNK,,ALL,2012,16507
DNK,,ALL,2013,16318
DNK,,ALL,2014,15716
DNK,,ALL,2015,15665
DNK,,ALL,2016,14426
DNK,,ALL,2017,14187
DNK,,ALL,2018,14284
ESP,,ALL,1987,16766
ESP,,ALL,1988,26069
ESP,,ALL,1989,30552
ESP,,ALL,1990,37231
ESP,,ALL,1991,41910
ESP,,ALL,1992,44962
ESP,,ALL,1993,45503
ESP,,ALL,1994,47832
ESP,,ALL,1995,49367
ESP,,ALL,1996,51002
ESP,,ALL,1997,49578
ESP,,ALL,1998,53847
ESP,,ALL,1999,58399
ESP,,ALL,2000,63756
ESP,,ALL,2001,69857
ESP,,ALL,2002,77125
ESP,,ALL,2003,79788
ESP,,ALL,2004,84985
ESP,,ALL,2005,91664
ESP,,ALL,2006,101592
ESP,,ALL,2007,112138
ESP,,ALL,2008,115812
ESP,,ALL,2009,111482
ESP,,ALL,2010,113031
ESP,,ALL,2011,118611
ESP,,ALL,2012,113419
ESP,,ALL,2013,108690
ESP,,ALL,2014,94796
ESP,,ALL,2015,94188
ESP,,ALL,2016,93131
ESP,,ALL,2017,94123
ESP,,ALL,2018,95917
ESP,,ALL,2019,99149
ESP,,ALL,2020,88269
EST,,ALL,1980,35497
EST,,ALL,1981,35052
EST,,ALL,1982,36272
EST,,ALL,1983,34250
EST,,ALL,1984,33747
EST,,ALL,1985,35652
EST,,ALL,1986,35749
EST,,ALL,1987,34713
EST,,ALL,1988,30702
EST,,ALL,1989,28216
EST,,ALL,1990,29410
EST,,ALL,1991,26470
EST,,ALL,1992,25803
EST,,ALL,1993,23284
EST,,ALL,1994,19784
EST,,ALL,1995,17671
EST,,ALL,1996,16887
EST,,ALL,1997,16615
EST,,ALL,1998,15798
EST,,ALL,1999,14503
EST,,ALL,2000,12745
EST,,ALL,2001,11656
EST,,ALL,2002,10839
EST,,ALL,2003,10625
EST,,ALL,2004,10081
EST,,ALL,2005,9619
EST,,ALL,2006,9394
EST,,ALL,2007,8900
EST,,ALL,2008,8420
EST,,ALL,2009,7565
EST,,ALL,2010,7087
EST,,ALL,2011,6689
